serial_timesteps,policy_entropy,fps,total_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,value_loss,clipfrac,n_updates,ep_len_mean,ep_reward_mean
499712,5.09936,464,499712,1066.1406061649323,0.8376735746860504,0.0046448554,-0.0026280002,15.376834,0.042822264,244,1487.89,965.43689711
501760,5.0970907,473,501760,1070.5532121658325,0.8773565664887428,0.0020949105,-0.0032679974,14.640839,0.020898437,245,1489.46,966.62766871
503808,5.08892,453,503808,1074.8752253055573,0.927905410528183,0.003750163,-0.008493194,6.6150475,0.042773437,246,1477.79,958.4472797599999
505856,5.084691,488,505856,1079.3914985656738,0.7948484867811203,0.0028867007,-0.004271742,22.534786,0.03330078,247,1495.19,971.7702083299998
507904,5.089288,446,507904,1083.5864820480347,0.7250755429267883,0.008917951,-0.004828579,12.511833,0.097558595,248,1508.41,979.7982256799999
509952,5.095228,476,509952,1088.1761615276337,0.8136783242225647,0.0046824124,-0.001851201,9.295093,0.05678711,249,1512.15,980.9253813500001
512000,5.092185,455,512000,1092.4740989208221,0.8040097206830978,0.002315232,-0.002687873,10.938469,0.02241211,250,1523.56,988.60298081
514048,5.091985,427,514048,1096.975391626358,0.8583565950393677,0.002739896,-0.0024800333,10.904324,0.029394532,251,1526.71,989.35170963
516096,5.0921392,436,516096,1101.7662818431854,0.7578130960464478,0.004263301,-0.007233667,20.784447,0.046826173,252,1530.61,991.2881616399999
518144,5.096488,443,518144,1106.4563040733337,0.8348829001188278,0.0021003499,-0.002660142,10.255003,0.02368164,253,1525.79,988.6154916599999
520192,5.1000113,468,520192,1111.0746057033539,0.8043737858533859,0.006338933,-0.0056705056,10.097945,0.08227539,254,1542.44,999.3345620299999
522240,5.102822,457,522240,1115.446440935135,0.7885944694280624,0.00480524,-0.0044459263,12.101744,0.05708008,255,1542.44,999.7952102099998
524288,5.1132097,448,524288,1119.9225976467133,0.8460909873247147,0.0018828902,-0.002635025,13.256287,0.020410156,256,1542.44,999.4483498699999
526336,5.125832,461,526336,1124.4869875907898,0.8458745628595352,0.0028245836,-0.0036171414,17.236012,0.031054687,257,1530.83,994.4580745
528384,5.1291437,466,528384,1128.9211950302124,0.8315060585737228,0.0038088846,-0.0040470734,13.12028,0.045556642,258,1530.83,996.5345706399999
530432,5.1356215,464,530432,1133.3120584487915,0.8078088313341141,0.0044392697,-0.008850589,12.715352,0.049707033,259,1530.83,997.43472212
532480,5.1359386,464,532480,1137.717744588852,0.823606088757515,0.0033873946,-0.0039935927,11.855378,0.039013673,260,1547.38,1010.3529212
534528,5.1288304,464,534528,1142.1240482330322,0.9021903499960899,0.0034858738,-0.005424438,10.123213,0.03955078,261,1546.08,1011.6808773
536576,5.13775,442,536576,1146.5322680473328,0.8687238544225693,0.0034267437,-0.0024967177,12.254708,0.038330078,262,1546.08,1014.29097623
538624,5.13591,473,538624,1151.157516002655,0.8781650364398956,0.0035678293,-0.0045708055,10.367823,0.040136717,263,1546.08,1016.3887437499999
540672,5.133966,455,540672,1155.4804084300995,0.8363635987043381,0.0024644998,-0.003206448,13.152214,0.027050782,264,1546.08,1017.2489553899998
542720,5.1272726,464,542720,1159.9733464717865,0.8355675041675568,0.0039554997,-0.007962566,10.672447,0.042822264,265,1546.08,1019.10893227
544768,5.128433,443,544768,1164.384120464325,0.8699889183044434,0.004195533,-0.003970952,9.837286,0.05029297,266,1546.08,1021.18961008
546816,5.14387,455,546816,1168.9992337226868,0.793603703379631,0.004133911,-0.0048216237,15.652506,0.04272461,267,1560.25,1032.03139551
548864,5.1418047,454,548864,1173.4998247623444,0.8629031628370285,0.0040521314,-0.0031925712,10.011028,0.04345703,268,1569.3,1039.42675038
550912,5.1461835,457,550912,1178.0044643878937,0.8263096809387207,0.0069593065,-0.0027291744,9.950738,0.076171875,269,1569.3,1040.01949226
552960,5.1521297,495,552960,1182.4777731895447,0.8122537136077881,0.001990287,-0.00237928,15.3027525,0.018017579,270,1569.3,1042.6668222899998
555008,5.143943,459,555008,1186.6145300865173,0.8102910369634628,0.00443061,-0.0045760977,15.142123,0.048535157,271,1561.69,1037.5336989599998
557056,5.133464,472,557056,1191.0764491558075,0.8412099480628967,0.002929037,-0.0025657772,11.903229,0.03046875,272,1567.3,1042.03148433
559104,5.118449,452,559104,1195.415872335434,0.8437956869602203,0.0030513143,-0.0028443856,22.93275,0.034082033,273,1551.89,1031.5226349900001
561152,5.1168137,458,561152,1199.945030450821,0.831753134727478,0.004017695,-0.0021768713,17.568714,0.046044923,274,1567.32,1044.29224959
563200,5.1202235,464,563200,1204.4098491668701,0.9544371999800205,0.0026180712,-0.004692602,5.2185965,0.028222656,275,1560.86,1039.30746965
565248,5.132406,457,565248,1208.8230919837952,0.8876645192503929,0.00241919,-0.001570465,11.964452,0.024365235,276,1560.86,1040.6746311000002
567296,5.1363196,447,567296,1213.299596786499,0.8525262773036957,0.0025908616,-0.0007417839,11.193324,0.029150391,277,1561.75,1041.2891268700002
569344,5.11888,479,569344,1217.87197971344,0.8985488712787628,0.004556093,-0.0036668093,10.264471,0.051416017,278,1569.88,1048.39542445
571392,5.1098247,476,571392,1222.1418526172638,0.8552750796079636,0.0012542101,-0.002474694,17.155706,0.011328125,279,1583.19,1059.1683718699999
573440,5.1132784,459,573440,1226.4406192302704,0.8863380625844002,0.0032990756,-0.0031788498,15.696401,0.03828125,280,1570.35,1050.89771873
575488,5.1138363,442,575488,1230.9008255004883,0.8983926922082901,0.0011464237,-0.001501096,11.164356,0.010302735,281,1583.17,1060.01367223
577536,5.1149454,438,577536,1235.5260965824127,0.7158319652080536,0.0040235226,-0.004633407,25.24821,0.050683595,282,1552.42,1039.2078034800002
579584,5.116049,473,579584,1240.1963069438934,0.8071591407060623,0.00350525,-0.0029313131,20.952635,0.03569336,283,1542.03,1031.2407008500002
581632,5.1113586,461,581632,1244.520035982132,0.9310015439987183,0.0038199262,-0.0049378374,7.679775,0.039892577,284,1539.43,1030.41761393
583680,5.1108007,466,583680,1248.9584338665009,0.8395630568265915,0.0021037005,-0.001333401,19.101284,0.021777343,285,1515.5,1013.86562004
585728,5.1192236,444,585728,1253.3460783958435,0.7479626834392548,0.0057586916,-0.002275078,11.646299,0.06723633,286,1515.5,1013.0914850899999
587776,5.1173315,452,587776,1257.9513161182404,0.8813298717141151,0.0019915218,-0.0034005898,11.831854,0.02060547,287,1515.5,1013.62264411
589824,5.1060996,462,589824,1262.4795110225677,0.8783110305666924,0.0019020948,-0.0020549502,10.279138,0.017626952,288,1515.5,1012.88893663
591872,5.114703,463,591872,1266.9115107059479,0.7511254847049713,0.0038145985,-0.0009061467,11.972611,0.047167968,289,1515.5,1010.4737169499998
593920,5.1299276,465,593920,1271.3316128253937,0.7965922951698303,0.0027144866,-0.00088833657,16.10313,0.03022461,290,1504.86,1001.4021473899999
595968,5.1312127,479,595968,1275.732825756073,0.7338607311248779,0.0039622704,-0.002275987,13.587751,0.04243164,291,1516.54,1008.69718354
