approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,value_loss,fps,clipfrac,total_timesteps,policy_loss,time_elapsed,ep_reward_mean,ep_len_mean
0.0028504184,645120,0.8712566047906876,4.4309206,315,23.601429,362,0.02993164,645120,-0.0023968476,1426.864492893219,921.4595079099998,1184.2
0.0047100345,647168,0.8454728424549103,4.4389725,316,20.042162,433,0.061083984,647168,-0.005501786,1432.5190777778625,920.17601012,1184.2
0.0017952208,649216,0.8218140602111816,4.4321146,317,20.015934,419,0.015234375,649216,-0.0017794305,1437.249401807785,937.53482651,1202.05
0.004144606,651264,0.7943907827138901,4.4221716,318,20.091503,402,0.04921875,651264,-0.003322681,1442.1264791488647,954.7540287,1219.6
0.0022377933,653312,0.9773658141493797,4.4145827,319,4.797605,430,0.020410156,653312,-0.00087087275,1447.2153272628784,939.1439769000001,1203.7
0.0020650409,655360,0.8866739049553871,4.416896,320,28.04621,453,0.021630859,655360,-0.0027564894,1451.9738476276398,959.4325132600002,1226.0
0.001918952,657408,0.8955024406313896,4.4187665,321,23.659,442,0.016259765,657408,-0.0034792926,1456.487803697586,960.16671786,1226.33
0.001518965,659456,0.9754271488636732,4.412177,322,6.157678,458,0.016064454,659456,-0.0025331848,1461.1126306056976,951.9861614299998,1213.83
0.0013498049,661504,0.8882270827889442,4.4116855,323,32.204567,473,0.013671875,661504,-0.002202715,1465.5802671909332,961.7941092099999,1223.24
0.00201782,663552,0.905574694275856,4.4164596,324,29.72787,456,0.022509765,663552,-0.0011604533,1469.9053230285645,950.7410978200002,1208.8
0.002777143,665600,0.960652444511652,4.4245615,325,8.381388,475,0.033984374,665600,-0.0031784703,1474.3935222625732,937.2368789300001,1197.57
0.0033853338,667648,0.8923804312944412,4.42579,326,21.067467,430,0.03828125,667648,-0.003206843,1478.7028875350952,952.7629139900001,1215.02
0.001983471,669696,0.9094076231122017,4.420991,327,21.029034,467,0.019628907,669696,-0.001748164,1483.4563069343567,951.0679685800002,1215.02
0.0021468657,671744,0.9810468908399343,4.4154673,328,5.0473833,470,0.024072265,671744,-0.0063190917,1487.8409175872803,941.8929054400002,1213.16
0.0029417486,673792,0.8846215829253197,4.417897,329,22.235855,435,0.03261719,673792,-0.0038083405,1492.193540096283,941.7619325200001,1213.16
0.0027213737,675840,0.8505645543336868,4.4338064,330,20.25773,424,0.031152343,675840,-0.0033392173,1496.9009869098663,958.5333188700001,1231.05
0.0033504434,677888,0.865253284573555,4.440667,331,20.697138,448,0.037841797,677888,-0.001719435,1501.723420381546,957.6536844799999,1231.05
0.0032839715,679936,0.8666146695613861,4.4451785,332,12.364204,434,0.033984374,679936,-0.0035848252,1506.2942197322845,957.8768911399999,1231.05
0.002442087,681984,0.836670845746994,4.4440894,333,25.520592,450,0.025195312,681984,-0.0028160256,1511.0116112232208,973.7255001400001,1251.78
0.004673954,684032,0.8524713814258575,4.444401,334,22.247112,444,0.06035156,684032,-0.0051679877,1515.5617475509644,988.4125611900001,1269.71
0.004308994,686080,0.8578203171491623,4.4406996,335,21.68156,402,0.051074218,686080,-0.004409143,1520.1654241085052,1004.1948706800001,1287.45
0.0030918543,688128,0.9066020920872688,4.42875,336,20.506414,383,0.032177735,688128,-0.0013330217,1525.2487289905548,1018.6086039200002,1301.27
0.0025698368,690176,0.9346345514059067,4.444818,337,21.856678,420,0.027783204,690176,-0.0041831816,1530.587298631668,1020.66783217,1306.31
0.0052026794,692224,0.9081138744950294,4.455657,338,23.556206,403,0.062158205,692224,-0.0043312064,1535.4581351280212,1036.51617252,1320.86
0.00668574,694272,0.8179471492767334,4.4556737,339,20.302784,368,0.089501955,694272,-0.004965163,1540.5303320884705,1051.8004754900003,1335.99
0.0063518346,696320,0.8471452742815018,4.45545,340,20.599918,361,0.07841797,696320,-0.0045229825,1546.0829286575317,1052.2086965500002,1335.99
0.0031350579,698368,0.8447671085596085,4.448896,341,22.122263,379,0.036865234,698368,-0.0038550012,1551.7424008846283,1068.9540795799999,1352.79
0.0020082744,700416,0.9126234948635101,4.4639096,342,23.354786,381,0.022070313,700416,-0.004322537,1557.1459515094757,1085.6267548399999,1370.64
