fps,n_updates,explained_variance,value_loss,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,approxkl,clipfrac,serial_timesteps
289,825,0.8294949978590012,13.361745,884.16229091,-0.0022116636,1408.45,5576.925700187683,3.2749238,1689600,0.0044521317,0.042041015,1689600
281,826,0.6928681433200836,10.374872,891.9341455300001,-0.002020194,1418.71,5583.991012811661,3.2593021,1691648,0.003979322,0.04345703,1691648
283,827,0.7473129034042358,20.094053,889.9863932000001,-0.0047865463,1415.25,5591.258239507675,3.2548993,1693696,0.0039526415,0.047021486,1693696
295,828,0.8365625739097595,10.564011,877.0143810099997,-0.003141081,1396.01,5598.494961023331,3.2327104,1695744,0.006767525,0.07602539,1695744
271,829,0.9206498712301254,3.8760371,875.96253235,-0.006601619,1394.74,5605.436100244522,3.2260165,1697792,0.0069554383,0.087451175,1697792
275,830,0.7562566995620728,9.789838,888.73095232,-0.0049401456,1411.53,5612.989784240723,3.2399857,1699840,0.006360133,0.07470703,1699840
280,831,0.9013194516301155,8.398717,887.2026051800001,-0.0052495734,1406.37,5620.415014743805,3.2490544,1701888,0.004137912,0.049560547,1701888
286,832,0.6409802138805389,11.71937,887.1918789200001,-0.004427366,1406.37,5627.718348026276,3.25575,1703936,0.005367272,0.061523438,1703936
280,833,0.7644522339105606,10.835101,888.59458496,-0.0053551053,1406.37,5634.863431930542,3.254203,1705984,0.0046190023,0.053466797,1705984
283,834,0.6949749290943146,10.036211,889.01083088,-0.0025523498,1406.37,5642.15284204483,3.252623,1708032,0.0036269452,0.038623046,1708032
281,835,0.8948486819863319,8.788639,871.0568557800001,-0.005397788,1380.22,5649.367681026459,3.265944,1710080,0.0064201737,0.071582034,1710080
268,836,0.6541503369808197,9.256956,869.55134157,-0.0019133585,1380.22,5656.632200956345,3.281606,1712128,0.007129819,0.0875,1712128
290,837,0.8060344904661179,17.399906,852.1469530200001,-0.002974805,1346.27,5664.2511167526245,3.284984,1714176,0.0035267163,0.038671874,1714176
287,838,0.6879543364048004,10.955189,857.4534413600002,-0.003070934,1346.27,5671.306130170822,3.283196,1716224,0.004318769,0.049951173,1716224
279,839,0.7923057377338409,9.578325,859.6700508400002,-0.0088977385,1346.27,5678.420034646988,3.2889724,1718272,0.008440464,0.08681641,1718272
278,840,0.6421827971935272,10.098143,858.6829427600001,-0.009737184,1346.27,5685.740656375885,3.3005872,1720320,0.011542536,0.12988281,1720320
288,841,0.9239305555820465,4.481358,849.3977694500002,-0.0055154073,1333.3,5693.099115848541,3.3173308,1722368,0.0029748757,0.030712891,1722368
292,842,0.7731089890003204,13.142342,847.59157529,-0.0042883703,1322.98,5700.19163608551,3.319715,1724416,0.0035793781,0.039501954,1724416
277,843,0.7172633409500122,9.347882,848.51218285,-0.0016196124,1322.98,5707.206005096436,3.324353,1726464,0.008454816,0.09902344,1726464
