total_timesteps,serial_timesteps,fps,approxkl,n_updates,ep_reward_mean,time_elapsed,explained_variance,policy_entropy,clipfrac,ep_len_mean,value_loss,policy_loss
327680,327680,533,0.007106132,160,1741.5679965600002,602.7706053256989,0.015014290809631348,2.5526345,0.09677734,1789.74,18.914997,-0.0055689565
329728,329728,525,0.005816036,161,1748.3164073100002,606.6126387119293,0.1653614044189453,2.562243,0.07783203,1796.83,17.952251,-0.0047703655
331776,331776,522,0.0062868586,162,1762.81395219,610.5122253894806,0.15229803323745728,2.5644712,0.08432617,1812.08,18.35728,-0.006335436
333824,333824,522,0.002282272,163,1773.23435444,614.4329843521118,-0.0007246732711791992,2.5633717,0.015722657,1822.6,19.35439,-0.001167485
335872,335872,523,0.0052777473,164,1787.94362518,618.3569750785828,0.006403684616088867,2.5718102,0.065136716,1837.34,19.241705,-0.0032678912
337920,337920,538,0.0046136603,165,1800.0663652700002,622.2699899673462,0.17394179105758667,2.577554,0.051416017,1849.64,17.359608,-0.0028019163
339968,339968,544,0.0033566896,166,1812.9112935900002,626.0716943740845,0.01324462890625,2.5763612,0.03461914,1862.98,19.414074,-0.00096279074
342016,342016,541,0.0018439849,167,1825.3651519800003,629.8337593078613,0.0026751160621643066,2.5701811,0.01225586,1875.59,19.586714,-6.407307e-05
344064,344064,535,0.004128363,168,1840.4946408,633.6145987510681,-0.006275057792663574,2.5786908,0.044628907,1890.64,19.833904,-0.0013143992
346112,346112,540,0.0022900377,169,1851.5238789900002,637.4434304237366,-0.0031812191009521484,2.5964549,0.021142578,1901.64,19.785288,-0.0015215939
348160,348160,547,0.0012098786,170,1865.11640954,641.2309193611145,-0.003129243850708008,2.6113126,0.005566406,1915.16,19.846,0.00028971405
350208,350208,534,0.0020875596,171,1865.4556877100001,644.9718155860901,-0.003974795341491699,2.6054015,0.013916016,1915.16,19.727472,-0.00069833576
352256,352256,533,0.0029439866,172,1866.2613377400003,648.8017334938049,0.04110527038574219,2.610865,0.027978515,1915.66,19.42542,-0.0018465591
354304,354304,544,0.0055413824,173,1873.7871611399999,652.6431889533997,-0.007097959518432617,2.6162,0.07353516,1923.1,19.84225,-0.0039840704
356352,356352,547,0.0065769022,174,1882.5203284,656.4023435115814,0.07234477996826172,2.6174371,0.086083986,1931.88,18.798843,-0.004536057
358400,358400,531,0.0017988036,175,1888.08736407,660.1445903778076,-0.010417938232421875,2.6235683,0.014697266,1937.44,19.763968,7.631535e-05
360448,360448,539,0.0027162682,176,1888.09100214,664.0020561218262,0.009439229965209961,2.6261163,0.030419922,1937.44,19.727226,-0.00032422814
362496,362496,551,0.0064814007,177,1896.5057471300001,667.7986285686493,-0.004631757736206055,2.62929,0.08491211,1945.52,19.83477,-0.0062496085
364544,364544,550,0.0052472013,178,1900.0874945599996,671.5150325298309,0.03089761734008789,2.636403,0.06928711,1948.95,19.09515,-0.0021241237
366592,366592,543,0.006083595,179,1900.3338687899998,675.2350375652313,0.0278928279876709,2.6393278,0.08125,1948.95,19.179188,-0.0031575994
368640,368640,513,0.005299715,180,1906.5155227799994,679.0036339759827,-0.008025288581848145,2.6431556,0.06660156,1955.05,19.687048,-0.0013955735
370688,370688,528,0.004430241,181,1906.9509116799995,682.9898705482483,0.013475358486175537,2.6471753,0.054345705,1955.05,19.710655,-0.002082284
372736,372736,543,0.003912236,182,1907.0736263199994,686.8685784339905,-0.002804994583129883,2.6498463,0.042041015,1955.05,20.138838,-0.0021150687
374784,374784,538,0.004039478,183,1907.3347330199997,690.6399507522583,0.0011497735977172852,2.653135,0.046972655,1955.05,20.0649,-0.0012663872
376832,376832,543,0.003353098,184,1917.6191181499996,694.4450895786285,0.001046895980834961,2.6618106,0.03618164,1965.13,20.014006,-0.0017779788
378880,378880,509,0.0034527774,185,1928.76625665,698.213995218277,0.002352416515350342,2.6800182,0.040136717,1976.11,20.056162,-0.00039611096
380928,380928,534,0.0018957506,186,1932.1404482599996,702.2316575050354,-0.007233381271362305,2.6802793,0.011132812,1979.16,20.109821,-0.0004695688
382976,382976,540,0.0030540058,187,1936.9078540599999,706.0666525363922,-0.005003213882446289,2.6822655,0.034423828,1983.14,20.052103,-0.0009704536
385024,385024,531,0.002938717,188,1937.23244694,709.8540687561035,-0.003748774528503418,2.7017584,0.032177735,1983.14,20.02191,-0.0011293121
387072,387072,541,0.0037890784,189,1937.6764437899997,713.7092955112457,-0.0019170045852661133,2.7103555,0.04091797,1983.14,20.05249,-0.00095316797
