serial_timesteps,ep_reward_mean,approxkl,clipfrac,time_elapsed,policy_entropy,fps,value_loss,ep_len_mean,policy_loss,explained_variance,n_updates,total_timesteps
329728,516.37629468,0.0034999195,0.03828125,534.4293577671051,1.7865155,637,16.233425,966.16,-0.0025966435,0.7386581897735596,161,329728
331776,521.16588856,0.003983459,0.047607422,537.6447224617004,1.7859799,624,4.154334,972.14,-0.00021268203,0.8375437408685684,162,331776
333824,519.15552843,0.004380945,0.051757812,540.9253642559052,1.7925583,630,8.616648,963.17,-0.0015765146,0.8518882542848587,163,333824
335872,507.57067046,0.0048978957,0.053955078,544.1746373176575,1.8025382,627,12.828659,936.05,-0.002581461,0.8095556199550629,164,335872
337920,504.71438829,0.004189823,0.04951172,547.4374296665192,1.8030924,631,11.758867,925.12,-0.0016831977,0.8360379785299301,165,337920
339968,504.83379336999997,0.0033990964,0.03227539,550.6822502613068,1.7956688,638,18.324667,919.06,-0.00081614533,0.7223523557186127,166,339968
342016,489.71134172999996,0.0038231243,0.042871095,553.8903515338898,1.7907732,633,13.789258,886.2,-0.0024798536,0.8270405530929565,167,342016
344064,472.4460182,0.005569406,0.06196289,557.1265022754669,1.7865372,622,14.756511,849.07,-0.0038228114,0.8443382680416107,168,344064
346112,453.43351154000004,0.00506516,0.057861328,560.4169316291809,1.7900064,636,20.25355,809.95,-0.002717988,0.6979669630527496,169,346112
348160,433.92500635000005,0.0027333961,0.029589843,563.6356401443481,1.7907026,619,10.496866,770.33,-0.0018194582,0.8609170019626617,170,348160
350208,414.56431346,0.0028742182,0.03100586,566.9443352222443,1.7929165,630,21.002666,732.73,-4.4567023e-05,0.7442007064819336,171,350208
352256,392.27980884000004,0.0016023752,0.012207031,570.1926617622375,1.7964996,640,18.848995,692.93,-0.0010423159,0.7411282360553741,172,352256
354304,394.2229398599999,0.004628683,0.0546875,573.3893411159515,1.7993393,623,13.339277,693.95,-0.002988827,0.7293681800365448,173,354304
356352,384.1887606899999,0.0053691026,0.06318359,576.6745805740356,1.8041227,608,11.033946,674.31,-0.00235498,0.7988705188035965,174,356352
358400,353.6038139799999,0.008065142,0.091992185,580.0432505607605,1.8238182,643,15.160794,613.9,-0.0036238595,0.8083536773920059,175,358400
360448,324.62718604,0.005144836,0.059667967,583.230797290802,1.8342403,635,11.424436,564.15,-0.0008541895,0.8249461799860001,176,360448
362496,325.41082491,0.0043255435,0.049707033,586.453929901123,1.8351864,628,7.4082284,563.78,-0.0018465249,0.8805541917681694,177,362496
364544,322.3738874,0.0045688474,0.053710938,589.7157363891602,1.8338907,635,7.7946677,558.66,-0.0019808752,0.8795814365148544,178,364544
366592,319.14046917,0.005469622,0.07055664,592.939156293869,1.8375896,626,13.542168,552.62,-0.004040647,0.811168298125267,179,366592
368640,326.53958685000003,0.0061439895,0.07084961,596.209317445755,1.8448551,638,1.9639324,563.34,-0.003931989,0.9718556422740221,180,368640
370688,325.19221756,0.0072885705,0.08671875,599.4193413257599,1.849225,636,5.89076,560.69,-0.0012432772,0.7977525591850281,181,370688
372736,335.33851441999997,0.009003641,0.062109374,602.6400561332703,1.8474638,609,13.328959,576.28,-0.0028956174,0.8010572791099548,182,372736
374784,345.66522362999996,0.00855222,0.06044922,605.9994769096375,1.8484135,637,9.76735,592.38,-0.0010626817,0.563249409198761,183,374784
376832,352.83008657,0.006134088,0.064208984,609.2124094963074,1.8554331,634,6.7598014,603.09,-0.0005200166,0.8785876929759979,184,376832
378880,359.72061763000005,0.0016417833,0.008251953,612.4408347606659,1.8554043,625,8.824625,613.64,-0.0008935876,0.8642778098583221,185,378880
