approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,ep_reward_mean,value_loss,policy_loss,n_updates,ep_len_mean,explained_variance
0.002587165,1451.1302387714386,0.030419922,4.763666,692224,692224,500,520.55010348,3.2034354,-0.0039913077,338,848.3,0.9557971507310867
0.002505305,1455.2224276065826,0.02475586,4.76508,694272,694272,478,506.26713836000005,15.898521,-0.00485433,339,829.22,0.8685458302497864
0.0032452259,1459.5049576759338,0.033837892,4.775052,696320,696320,464,505.65889017000006,18.36745,-0.0044599143,340,829.1,0.8710375726222992
0.0033024051,1463.913899898529,0.03378906,4.782732,698368,698368,475,518.6671751400002,6.6753464,-0.005346223,341,846.65,0.9288759380578995
0.0022733598,1468.2188351154327,0.026464844,4.790484,700416,700416,475,511.5209680699999,9.700198,-0.0053909454,342,836.36,0.8923509791493416
0.0025942647,1472.5226674079895,0.027929688,4.7911596,702464,702464,463,516.5259459,17.697025,-0.0018157356,343,843.99,0.8758495822548866
0.004892489,1476.9404418468475,0.058154296,4.7881436,704512,704512,460,527.2769781599999,10.809256,-0.005956959,344,857.43,0.9072548300027847
0.0023800228,1481.3925218582153,0.022900391,4.7933517,706560,706560,476,521.36667342,14.056686,-0.002569713,345,853.41,0.8598370254039764
0.0013821251,1485.6941530704498,0.011230469,4.80009,708608,708608,476,495.0647121,7.9918036,-0.0031606685,346,820.26,0.9263300374150276
0.003991996,1489.9906134605408,0.046044923,4.803522,710656,710656,490,506.95247422000006,13.063486,-0.0058819973,347,837.99,0.8281627595424652
0.004926128,1494.1697607040405,0.053710938,4.800252,712704,712704,490,519.252067,16.09045,-0.0046230443,348,855.88,0.812351793050766
0.0033905047,1498.3483510017395,0.04018555,4.8122087,714752,714752,468,532.1234236799999,13.531642,-0.003124803,349,873.49,0.8796080350875854
0.0018807206,1502.7237272262573,0.018798828,4.8179426,716800,716800,496,541.8090713299999,12.933948,-0.0025149763,350,887.74,0.8647081106901169
0.00412698,1506.855224609375,0.045996092,4.8107057,718848,718848,441,555.5629093299999,18.601837,-0.00251314,351,903.28,0.8898633047938347
0.0037608463,1511.491159915924,0.04399414,4.8104534,720896,720896,478,556.17070057,12.660608,-0.0054733204,352,899.11,0.9153321385383606
0.0029290502,1515.7707812786102,0.03305664,4.8164887,722944,722944,449,569.73418943,11.966419,-0.0031036616,353,916.6,0.9315962493419647
0.0016825187,1520.3285820484161,0.014697266,4.827261,724992,724992,471,581.3944404800001,14.635274,-0.0021919333,354,934.17,0.7387118935585022
0.0029888668,1524.6733701229095,0.031152343,4.8321166,727040,727040,450,595.80681799,16.88619,-0.003665702,355,949.72,0.9048634842038155
0.0040556686,1529.2232019901276,0.053271484,4.8338447,729088,729088,497,607.4363805500001,11.1238,-0.0043561505,356,967.79,0.7764395773410797
0.002990557,1533.3421700000763,0.031201173,4.838688,731136,731136,507,615.9463833300001,6.6532784,-0.004098774,357,978.62,0.9341389983892441
0.0048056217,1537.3801386356354,0.05629883,4.8407454,733184,733184,477,628.85426839,13.68664,-0.005796492,358,996.41,0.865978866815567
0.0027955994,1541.6676609516144,0.031835936,4.8407044,735232,735232,499,645.91749905,15.059534,-0.0054941922,359,1020.09,0.8404509425163269
0.0025541803,1545.7645344734192,0.029296875,4.857629,737280,737280,455,650.0095299200001,5.8336515,-0.0057061794,360,1026.09,0.9521360583603382
0.003378485,1550.2608294487,0.040039062,4.8678412,739328,739328,481,653.3606641299999,9.605611,-0.0028783618,361,1033.39,0.809438481926918
0.0012939014,1554.5105438232422,0.009667968,4.871609,741376,741376,478,663.67976035,6.32142,-0.0037628182,362,1048.63,0.9074842110276222
0.0035021198,1558.7926797866821,0.037988283,4.871808,743424,743424,444,668.9471509,5.0173206,-0.004168456,363,1055.95,0.9691172167658806
0.0028380994,1563.4053208827972,0.029492188,4.883262,745472,745472,437,684.84470183,12.861972,-0.004243036,364,1073.79,0.7978643327951431
0.0031129394,1568.0879364013672,0.029833984,4.878781,747520,747520,441,677.5943597,22.30636,-0.003112951,365,1061.93,0.6727012991905212
0.0030664292,1572.7290551662445,0.031396486,4.8709483,749568,749568,498,667.4685301599999,15.557631,-0.00641407,366,1052.68,0.8309818208217621
0.0029171896,1576.837110042572,0.03339844,4.8717327,751616,751616,468,676.6826331500001,15.20965,-0.0030631549,367,1067.16,0.9144520312547684
0.004345759,1581.2083475589752,0.04506836,4.8723683,753664,753664,464,692.3630511299999,8.880483,-0.004223941,368,1084.93,0.9238247498869896
0.0027961605,1585.6211874485016,0.034472656,4.8697824,755712,755712,473,702.05997578,17.638302,-0.0060762516,369,1099.24,0.847706526517868
0.0028649368,1589.9472711086273,0.028027344,4.8595667,757760,757760,489,687.80096562,18.257881,-0.0060860543,370,1078.64,0.8769929483532906
0.0012317809,1594.1331794261932,0.011523438,4.853198,759808,759808,528,685.44758324,10.739205,-0.0023097813,371,1075.74,0.8343022912740707
0.0041347374,1598.0087749958038,0.05,4.8586884,761856,761856,432,695.1466426999999,13.946878,-0.003858225,372,1091.2,0.7723693996667862
0.0041883877,1602.744342327118,0.049609374,4.8708353,763904,763904,473,695.98462753,3.3457534,-0.006134741,373,1093.12,0.9529385194182396
0.0041541997,1607.0704514980316,0.04511719,4.876646,765952,765952,487,700.1666109900001,14.528874,-0.0051323157,374,1101.52,0.8237026184797287
0.004310065,1611.2733500003815,0.05288086,4.8694353,768000,768000,442,710.4298605500002,3.5842056,-0.0048485,375,1113.62,0.9374981820583344
0.0030119368,1615.9058022499084,0.03339844,4.87617,770048,770048,431,718.6535712100001,10.411255,-0.0023044678,376,1127.64,0.7666021138429642
0.004992127,1620.6510035991669,0.060302734,4.897445,772096,772096,472,716.6102526800001,14.758478,-0.0072580935,377,1127.14,0.8149551600217819
0.0026806158,1624.986423254013,0.029638672,4.91509,774144,774144,478,727.8513895400001,9.428222,-0.0032454592,378,1144.76,0.8399780690670013
