fps,ep_reward_mean,approxkl,serial_timesteps,policy_loss,value_loss,clipfrac,total_timesteps,n_updates,time_elapsed,policy_entropy,ep_len_mean,explained_variance
408,1971.4909331500003,0.0016296527,292864,-0.00063354283,20.181004,0.013476563,292864,143,714.1930034160614,6.7545958,1986.39,-0.005653500556945801
437,1971.5504490700002,0.0016835224,294912,-0.0021751043,20.11487,0.01845703,294912,144,719.2074172496796,6.7530746,1986.39,0.0009031891822814941
416,1971.6627222200002,0.0010282634,296960,0.00024921147,20.026617,0.0060546873,296960,145,723.8911638259888,6.753418,1986.39,0.007312119007110596
421,1971.73494826,0.0014687104,299008,-0.001453337,20.20971,0.009228515,299008,146,728.8073692321777,6.7322416,1986.39,-0.006143808364868164
434,1971.8632931900001,0.0016342172,301056,-0.0023612294,19.953465,0.018017579,301056,147,733.6678018569946,6.7418337,1986.39,0.020038723945617676
435,1971.90885488,0.0020095336,303104,-0.0004123947,20.281683,0.01821289,303104,148,738.385272026062,6.7494864,1986.39,-0.009647130966186523
433,1971.99456591,0.0018860878,305152,-0.0013868378,20.109676,0.02080078,305152,149,743.0854089260101,6.743701,1986.39,0.005370914936065674
420,1971.9921711199997,0.0006026131,307200,-0.0005990664,20.199371,0.0037597655,307200,150,747.806426525116,6.7522774,1986.39,-0.002216339111328125
444,1971.9741155499996,0.00083750684,309248,1.4741701e-05,20.255451,0.003125,309248,151,752.6784241199493,6.754959,1986.39,-0.010491371154785156
421,1972.0951259299995,0.0013471167,311296,-0.0012283374,20.185806,0.012744141,311296,152,757.2868418693542,6.758545,1986.39,-0.003242015838623047
425,1972.11932198,0.0014307083,313344,-0.00013002797,20.065113,0.012011719,313344,153,762.1478810310364,6.7712364,1986.39,0.005720973014831543
442,1972.11642299,0.0036244437,315392,-0.004982398,20.177063,0.046044923,315392,154,766.9629261493683,6.7874756,1986.39,0.0003692507743835449
408,1972.1895543300002,0.0024560941,317440,-0.0028411183,20.139635,0.026367188,317440,155,771.5935187339783,6.803875,1986.39,0.004723727703094482
420,1972.1707626300004,0.0022450383,319488,-0.0018728335,19.830534,0.026660156,319488,156,776.6127192974091,6.807561,1986.39,0.02069324254989624
419,1972.1191097600001,0.0008239544,321536,-0.0007247465,20.204153,0.0076660155,321536,157,781.481406211853,6.8097353,1986.39,-0.005429983139038086
429,1972.0674545499999,0.0011376903,323584,-0.0010864466,20.377333,0.009667968,323584,158,786.3665137290955,6.819917,1986.39,-0.021396517753601074
430,1972.06776739,0.00093243585,325632,-0.00078008784,20.264545,0.008105469,325632,159,791.1379325389862,6.8399224,1986.39,-0.008893370628356934
426,1972.11209015,0.00066586817,327680,-0.0002742576,20.211739,0.0047851563,327680,160,795.8985514640808,6.8631735,1986.39,-0.011379718780517578
432,1972.05210692,0.0009945681,329728,-0.0011649027,20.077042,0.006884766,329728,161,800.7020723819733,6.861247,1986.39,0.003025650978088379
