clipfrac,explained_variance,serial_timesteps,fps,total_timesteps,policy_loss,approxkl,ep_reward_mean,time_elapsed,ep_len_mean,value_loss,n_updates,policy_entropy
0.024804687,0.8465771228075027,700416,425,700416,-0.0029189438,0.0022118888,1251.6336700200002,1622.8956339359283,1559.99,27.21969,342,4.9953585
0.011621093,0.7957660406827927,702464,451,702464,-0.0018823722,0.0015791521,1253.00841573,1627.7091903686523,1559.99,20.71885,343,5.0011597
0.013183594,0.8146490901708603,704512,490,704512,-0.0034193199,0.001462444,1220.1852425100003,1632.2437496185303,1529.66,24.3606,344,5.004853
0.029150391,0.9398112706840038,706560,442,706560,-0.0047714785,0.0029912493,1224.74849549,1636.4205372333527,1535.93,8.852117,345,5.0040784
0.058984376,0.8483301252126694,708608,419,708608,-0.00290342,0.004380801,1243.14633041,1641.0468919277191,1555.68,25.262547,346,5.0051184
0.05703125,0.8731481283903122,710656,438,710656,-0.004117905,0.0051207244,1264.4764241999999,1645.928082704544,1579.5,30.403418,347,5.0118337
0.059765626,0.871105432510376,712704,458,712704,-0.0032598483,0.0051095756,1281.0286594899999,1650.5974814891815,1597.37,19.046833,348,5.0200987
0.036035158,0.9367403239011765,714752,411,714752,-0.00517816,0.0035638027,1281.03761843,1655.0624721050262,1598.32,14.65737,349,5.044883
0.028320312,0.8832158744335175,716800,418,716800,-0.0039930237,0.0027912003,1288.61657792,1660.039464712143,1600.86,26.431662,350,5.0734186
0.071875,0.8384066373109818,718848,383,718848,-0.0022937192,0.0056950217,1293.86736706,1664.9371252059937,1600.86,20.285698,351,5.087723
0.10229492,0.8522617816925049,720896,401,720896,-0.0072613237,0.0077720038,1311.1814446100002,1670.277202129364,1618.84,20.515894,352,5.1004543
0.032470703,0.8615441918373108,722944,425,722944,-0.0035904765,0.0027831323,1318.9490861800002,1675.3763632774353,1625.37,28.500284,353,5.1020994
0.05625,0.8475445955991745,724992,400,724992,-0.0044696853,0.0049485606,1335.1159976800002,1680.18678689003,1643.46,20.248804,354,5.091851
0.043115236,0.8584809899330139,727040,400,727040,-0.0026256924,0.003883868,1333.66572664,1685.3001279830933,1643.46,20.232538,355,5.0784535
0.013525391,0.9457643143832684,729088,413,729088,-0.004193154,0.0017629055,1337.39790949,1690.4101519584656,1649.59,8.679396,356,5.0786448
0.054248046,0.8705160319805145,731136,424,731136,-0.0032963357,0.0045086048,1353.7364065000002,1695.363742351532,1669.49,19.524006,357,5.0731792
0.043945312,0.8477649837732315,733184,404,733184,-0.0027068285,0.0041822707,1368.7077523300002,1700.1895730495453,1686.3,19.244213,358,5.0628176
0.032226562,0.8549456298351288,735232,425,735232,-0.0034681417,0.0030220742,1353.6409605200001,1705.2574605941772,1670.41,29.364603,359,5.051024
0.04926758,0.8330721855163574,737280,414,737280,-0.003013797,0.004053028,1351.72307804,1710.0709881782532,1670.41,21.825104,360,5.049911
0.03178711,0.7896856814622879,739328,384,739328,-0.0022875986,0.0030214477,1367.4661417199998,1715.0083725452423,1690.27,20.436365,361,5.0373178
0.020507812,0.8660856038331985,741376,423,741376,-0.0009876929,0.002076779,1387.00459688,1720.3384561538696,1709.86,26.763117,362,5.028221
