total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
1634304,0.019580077,-0.0010224634,508,3279.878175973892,1634304,20.150839,1384.7246412499996,1740.06,0.0022991924,798,5.815351,0.8952187970280647
1636352,0.07348633,-0.004269782,489,3283.9055376052856,1636352,10.286716,1378.24265014,1740.06,0.006208405,799,5.83297,0.9323842599987984
1638400,0.020068359,-0.0013254927,494,3288.0923821926117,1638400,20.051395,1378.61508381,1740.06,0.0019457622,800,5.847096,0.8924080356955528
1640448,0.045556642,-0.004009261,455,3292.235193967819,1640448,11.090937,1387.6410559699998,1754.6,0.0039477074,801,5.856238,0.6627672612667084
1642496,0.034765624,-0.0058196955,474,3296.7305560112,1642496,14.474385,1381.6587352299998,1754.6,0.002965936,802,5.860347,0.5941571891307831
1644544,0.045947265,-0.0048600966,471,3301.0518004894257,1644544,9.644344,1376.67655316,1754.6,0.003972129,803,5.862912,0.6372841000556946
1646592,0.03354492,-0.0027310674,486,3305.3964924812317,1646592,9.337473,1366.1535076100001,1748.02,0.0029034582,804,5.8669267,0.6626129150390625
1648640,0.06948242,-0.005058731,481,3309.6080317497253,1648640,9.031829,1359.47169566,1748.02,0.0057632015,805,5.8777957,0.7067504227161407
1650688,0.036572266,-0.00348102,507,3313.8577823638916,1650688,17.879776,1337.7136957399998,1732.38,0.0030205264,806,5.886449,0.7407025396823883
1652736,0.06621094,-0.004223163,492,3317.8938682079315,1652736,8.221048,1345.37679462,1745.55,0.0051835338,807,5.88877,0.701356440782547
1654784,0.03286133,-0.0058159395,491,3322.053362131119,1654784,9.52244,1336.50836137,1741.46,0.0030794635,808,5.89193,0.9543687179684639
1656832,0.049707033,-0.0060142586,522,3326.2244782447815,1656832,23.55269,1321.1227751899999,1724.56,0.0061921496,809,5.8996935,0.8855212405323982
1658880,0.03691406,-0.003750497,496,3330.147715330124,1658880,9.127215,1313.4933725199999,1722.04,0.004621566,810,5.90417,0.9541049860417843
1660928,0.052197266,-0.0018912458,488,3334.2738053798676,1660928,19.844429,1314.29775905,1722.04,0.004135593,811,5.913909,0.8689015805721283
1662976,0.07426758,-0.0072202394,504,3338.4667942523956,1662976,19.992939,1314.66524143,1722.04,0.0060095657,812,5.917365,0.844773143529892
1665024,0.039355468,-0.0060374355,504,3342.527918815613,1665024,31.00388,1304.0610264299999,1713.02,0.004081151,813,5.9084063,0.8589688241481781
1667072,0.04501953,-0.0051588034,487,3346.5917875766754,1667072,10.70434,1298.76564653,1713.02,0.0035456517,814,5.914893,0.7546226680278778
