n_updates,fps,clipfrac,explained_variance,total_timesteps,ep_len_mean,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean
167,573,0.022070313,0.7077006697654724,342016,1785.66,8.860403,597.5909209251404,-0.006761676,0.0024328274,342016,1.89121,628.6712427099999
168,567,0.028320312,0.5596409142017365,344064,1743.17,11.262584,601.1645600795746,-0.004471929,0.0027181667,344064,1.8873513,622.60681422
169,557,0.03359375,0.7773202061653137,346112,1718.02,5.5169005,604.7767508029938,-0.005080805,0.0029383567,346112,1.8937107,619.80277415
170,561,0.028173828,0.6230409145355225,348160,1665.35,12.502531,608.4496073722839,-0.0041961116,0.0025417588,348160,1.9022051,612.4055085499999
171,557,0.039648436,0.6683315336704254,350208,1619.97,8.832312,612.0962264537811,-0.0039111343,0.003514106,350208,1.903672,603.23374136
172,569,0.01303711,0.7574022561311722,352256,1562.4,8.844207,615.7736194133759,0.00040182046,0.0016723996,352256,1.9040177,593.1690234600001
173,553,0.04008789,0.7087331414222717,354304,1521.06,9.221453,619.3681387901306,-0.0027318269,0.003679587,354304,1.9047105,585.59304393
174,550,0.05053711,0.83565554022789,356352,1496.08,4.562037,623.0669836997986,-0.0037127484,0.0041621868,356352,1.9111309,581.4764961799999
175,552,0.018066406,0.8012018650770187,358400,1473.15,4.989636,626.7878606319427,-0.0021365955,0.0022955502,358400,1.9132458,578.72980723
176,559,0.020263672,0.6500170528888702,360448,1438.54,9.442025,630.4949300289154,-0.0040630335,0.0019609963,360448,1.9085903,574.4004614199999
177,571,0.021728516,0.8239304423332214,362496,1430.44,3.4435794,634.1536173820496,-0.0015630728,0.0022703942,362496,1.9080794,574.92684193
178,573,0.015917968,0.5276633203029633,364544,1430.44,6.213836,637.7346186637878,-0.0008181899,0.0018922586,364544,1.9154007,579.48914864
179,572,0.04145508,0.60540372133255,366592,1430.44,6.2558765,641.3080849647522,-0.002301055,0.003752984,366592,1.9127724,584.3440907800001
180,562,0.070214845,0.8066844195127487,368640,1416.74,5.6773224,644.8859753608704,-0.004137476,0.0058576805,368640,1.907459,586.1259578300001
181,553,0.027832031,0.6150086522102356,370688,1416.74,5.8002625,648.5290734767914,-0.0009726845,0.002976528,370688,1.9022259,590.6602803
182,559,0.04765625,0.8522444516420364,372736,1411.68,2.896257,652.2326543331146,-0.008357983,0.0040549687,372736,1.892401,592.71174301
183,569,0.05732422,0.8462152928113937,374784,1409.05,3.0960133,655.8940234184265,-0.0016634271,0.0049523883,374784,1.891691,596.0627919499999
184,573,0.028857421,0.7315586507320404,376832,1409.05,4.485696,659.4913094043732,-0.0008140551,0.0028646314,376832,1.895902,600.35231415
