explained_variance,time_elapsed,value_loss,ep_len_mean,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy
0.9066913798451424,536.5088107585907,7.430686,1505.41,294912,438,974.79842414,-0.0021749863,294912,144,0.0030798619,0.03515625,3.767592
0.797751173377037,541.1804177761078,26.503529,1492.34,296960,556,963.3219195100002,-0.001865744,296960,145,0.0025474485,0.028027344,3.7590516
0.8907381743192673,544.8606405258179,13.5168705,1483.35,299008,568,954.7897116099999,-0.0024986805,299008,146,0.0037819836,0.036865234,3.7630677
0.8312267661094666,548.4631259441376,12.801478,1494.86,301056,575,963.6507377300001,-0.0025247326,301056,147,0.0023343558,0.02475586,3.7664268
0.9199354350566864,552.0206432342529,12.124986,1465.66,303104,566,941.5742466600002,-0.0027200452,303104,148,0.0028464394,0.031591795,3.7677987
0.8638042658567429,555.6381642818451,17.652851,1425.45,305152,571,912.6266322300002,-0.004841608,305152,149,0.0036371741,0.044287108,3.7769272
0.7956372648477554,559.222576379776,14.707495,1426.07,307200,523,912.69588824,-0.0048625297,307200,150,0.0028738831,0.03125,3.7727559
0.9059479609131813,563.1373414993286,14.961736,1378.25,309248,539,876.4412089399999,-0.0058712466,309248,151,0.0046574543,0.05986328,3.7747784
0.8425149470567703,566.9367554187775,14.50531,1391.8,311296,568,886.8783271299998,-0.0060317228,311296,152,0.004609711,0.05366211,3.7816155
0.8550084382295609,570.5384726524353,22.69823,1398.44,313344,525,891.96161125,-0.0016685236,313344,153,0.0029835007,0.034179688,3.7808652
0.8790454939007759,574.4337708950043,12.839922,1376.37,315392,507,876.4964012899999,-0.007390484,315392,154,0.0038241656,0.04111328,3.7879786
0.9067191630601883,578.4676003456116,10.406124,1385.51,317440,499,882.9689428400001,-0.0070236996,317440,155,0.0034362972,0.038085938,3.7887673
0.9496663622558117,582.5706603527069,4.362716,1376.64,319488,522,877.2187685900001,-0.0054182704,319488,156,0.0046080947,0.056591798,3.7910683
0.92087022960186,586.4873490333557,10.1128645,1376.64,321536,547,876.8551926800001,-0.002600881,321536,157,0.0029633304,0.032177735,3.8049095
0.8307056725025177,590.2298579216003,14.084531,1376.64,323584,571,877.87442817,-0.005112129,323584,158,0.0028587996,0.03515625,3.8287418
0.8100623190402985,593.8166062831879,18.124592,1361.16,325632,578,868.92642065,-0.004336157,325632,159,0.0029486406,0.03261719,3.8283947
0.8886523693799973,597.3585913181305,14.731013,1354.86,327680,561,865.8743507700002,-0.0062008025,327680,160,0.003697687,0.044628907,3.8279958
0.9112699180841446,601.0046410560608,12.30895,1342.85,329728,567,857.8665952900001,-0.003188748,329728,161,0.0021990556,0.020410156,3.8251958
0.9016524031758308,604.6169228553772,8.32118,1351.27,331776,582,863.98217565,-0.0032271636,331776,162,0.0018902546,0.015966797,3.8212364
0.7838340848684311,608.1358478069305,9.977117,1351.27,333824,556,863.9444700399998,-0.0051210355,333824,163,0.0058765733,0.06977539,3.8221307
0.8207235038280487,611.8196096420288,10.193335,1351.27,335872,568,863.4170997,-0.0031282187,335872,164,0.005142034,0.06411133,3.8380306
0.7919904887676239,615.4248242378235,17.00624,1333.97,337920,567,849.61000514,-0.0034306832,337920,165,0.0047843726,0.05908203,3.8662028
0.8496676385402679,619.0356197357178,13.933456,1333.97,339968,559,850.2203885399999,-3.124921e-05,339968,166,0.0022173987,0.02451172,3.8925004
0.8430564701557159,622.6983156204224,14.783434,1333.97,342016,569,851.30926831,-0.00013300571,342016,167,0.0011936842,0.0068359375,3.889466
0.7718446254730225,626.2971699237823,13.694887,1333.97,344064,579,851.2332151600001,-0.004518242,344064,168,0.00343198,0.03769531,3.874738
0.8517662584781647,629.8317458629608,15.50009,1340.36,346112,578,856.40088898,-0.0045615784,346112,169,0.0026730788,0.027148437,3.8691945
0.9057632237672806,633.3707880973816,7.8620844,1354.15,348160,580,867.7422371799998,-0.0032166266,348160,170,0.0035102363,0.04086914,3.8659077
0.8635963946580887,636.9009120464325,18.388088,1323.04,350208,573,847.0367766999999,-0.005237414,350208,171,0.0030517417,0.03251953,3.8515067
0.9300424158573151,640.4743537902832,6.49102,1334.0,352256,567,854.69726004,-0.0023512621,352256,172,0.0029267138,0.029833984,3.8394432
0.8559136837720871,644.080812215805,17.71012,1326.99,354304,569,850.66510106,-0.003465365,354304,173,0.004737311,0.046289064,3.8355622
0.8912480920553207,647.6797025203705,13.303038,1325.63,356352,556,848.8402767,-0.004790387,356352,174,0.0029474506,0.0359375,3.8387074
0.8979308679699898,651.3605668544769,9.375825,1343.36,358400,567,861.4760207900002,-0.004127278,358400,175,0.003512331,0.039697267,3.8459523
0.890712283551693,654.9700269699097,8.768135,1343.36,360448,545,861.6439850000003,-0.0017993668,360448,176,0.002870411,0.027783204,3.8476892
0.9488603807985783,658.7246232032776,4.582932,1341.02,362496,548,859.7959726000001,-0.0031468146,362496,177,0.0033118862,0.03642578,3.8504524
0.8795543685555458,662.4566032886505,9.157087,1357.23,364544,562,871.62388889,-0.0042698616,364544,178,0.0036623825,0.043945312,3.8562036
0.8981782868504524,666.0958251953125,9.396794,1367.67,366592,557,879.29167707,-0.0038497604,366592,179,0.003834941,0.042822264,3.8558414
0.9354370683431625,669.7710361480713,6.119897,1366.68,368640,517,879.0853514700002,-0.01028748,368640,180,0.0055717295,0.061523438,3.84682
0.9152508676052094,673.7313039302826,19.15691,1331.39,370688,527,853.76525688,-0.008119345,370688,181,0.0043112277,0.05180664,3.8584647
0.8626520484685898,677.6113529205322,10.3175745,1347.65,372736,550,865.6354432,-0.0030585586,372736,182,0.0050941724,0.054736327,3.8724627
0.8765875399112701,681.3289139270782,16.814102,1365.42,374784,561,878.49034154,-0.0020803527,374784,183,0.0025369632,0.02758789,3.8778338
0.8867470398545265,684.9795417785645,9.829013,1365.42,376832,518,880.51194319,-0.0036283836,376832,184,0.0033044661,0.03930664,3.8965404
0.8972584009170532,688.9308450222015,11.861806,1348.16,378880,532,867.63015491,-0.0103713265,378880,185,0.005996016,0.064697266,3.9195113
0.9377054534852505,692.7810266017914,5.8841653,1339.9,380928,501,863.20759137,-0.0034979049,380928,186,0.002760134,0.029199218,3.9371204
0.8495757132768631,696.8644375801086,23.414051,1322.49,382976,515,851.29881651,-0.0043230094,382976,187,0.0044138795,0.05126953,3.9448001
0.9136819019913673,700.8388142585754,12.087622,1291.63,385024,534,827.39494444,-0.0032263822,385024,188,0.00272507,0.029052734,3.9574037
0.8401222825050354,704.670031785965,12.795683,1291.63,387072,518,828.58532357,-0.0054220697,387072,189,0.0042997254,0.054736327,3.9644756
0.8230568021535873,708.6178247928619,28.024982,1244.18,389120,543,790.1034659499998,-0.0067548603,389120,190,0.0041724527,0.0496582,3.9739277
