policy_loss,n_updates,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,clipfrac,total_timesteps,value_loss,ep_len_mean,serial_timesteps,fps,approxkl
-0.0065295957,135,598.6709561347961,3.9187844,931.59810659,0.8702608644962311,0.07558594,276480,24.662748,1358.57,276480,444,0.0058399336
-0.0021050125,136,603.2757134437561,3.936502,921.18046115,0.921353317797184,0.031347655,278528,9.938978,1339.94,278528,454,0.0027879428
-0.0017901978,137,607.7800805568695,3.942967,920.8610928100002,0.9395594112575054,0.07080078,280576,7.105546,1336.63,280576,448,0.0056354506
-0.0017072924,138,612.3515255451202,3.941281,923.51621587,0.8694219589233398,0.030859375,282624,18.653076,1336.63,282624,447,0.0029141433
-0.0024973564,139,616.9275658130646,3.9346893,926.0226699700002,0.8826014995574951,0.032226562,284672,17.254467,1336.63,284672,426,0.003268312
-0.004491063,140,621.7353005409241,3.9315696,925.86608542,0.9420482032001019,0.035302736,286720,9.205419,1335.93,286720,442,0.003198975
-0.002426772,141,626.3590822219849,3.9383316,925.6003326000001,0.8562860786914825,0.017529298,288768,31.823584,1328.05,288768,460,0.0018000012
-0.0036777097,142,630.8106346130371,3.9446063,935.2679611600001,0.8769708871841431,0.052001953,290816,19.156162,1337.32,290816,447,0.0045054615
-0.0023724728,143,635.3865547180176,3.936172,924.8195412200001,0.9323587566614151,0.01225586,292864,10.159859,1322.75,292864,466,0.0014579578
-0.005202207,144,639.7743172645569,3.935412,948.3859874899999,0.8029714375734329,0.04765625,294912,26.541265,1349.92,294912,453,0.004071583
-0.0030797538,145,644.2925460338593,3.9473464,933.1625559400001,0.946307335048914,0.031396486,296960,9.773854,1331.08,296960,469,0.0027766642
-0.00666373,146,648.6509556770325,3.95216,921.3773798999998,0.909835159778595,0.061279297,299008,25.026674,1314.11,299008,458,0.0049042595
-0.0027167709,147,653.116690158844,3.9526837,925.4657325399999,0.8876276984810829,0.05126953,301056,16.435507,1314.11,301056,418,0.0044656787
-0.0043892935,148,658.0075552463531,3.9489918,920.2768303599998,0.9802039470523596,0.03173828,303104,3.8074653,1306.12,303104,435,0.0031491038
-0.0066291117,149,662.7112188339233,3.9516377,904.6649295799999,0.865529865026474,0.037744142,305152,26.107395,1283.6,305152,454,0.0034951132
-0.0023830668,150,667.2191452980042,3.9664478,919.7298364699999,0.8807655572891235,0.037646484,307200,24.52155,1298.5,307200,449,0.0032883254
-0.0043799854,151,671.775111913681,3.9734108,929.9997642499999,0.8696146458387375,0.07348633,309248,19.56911,1307.7,309248,430,0.005937556
-0.002627207,152,676.5346701145172,3.972793,930.6967261999998,0.9384593926370144,0.0296875,311296,3.4730792,1308.34,311296,453,0.002684335
-0.005913875,153,681.0511958599091,3.9748192,941.31406358,0.9339725226163864,0.0609375,313344,9.698878,1324.96,313344,434,0.0055684457
-0.0013539221,154,685.763439655304,3.9751542,943.2125990900001,0.8326981663703918,0.04799805,315392,18.903053,1324.96,315392,443,0.0041354243
-0.0037852884,155,690.3780341148376,3.971119,958.4855339400002,0.5778002440929413,0.033837892,317440,18.476261,1340.35,317440,451,0.0030300864
